anc.pop	admx.pop	sex	proportion	norm.proportion	bootstrap
European	CLM	f	0.187	0.187	8
African	CLM	f	0.071	0.071	8
Native_American	CLM	m	0	0	8
European	CLM	m	0.5	0.5	8
African	CLM	m	0	0	8
Native_American	MXL	f	0.448	0.448897795591182	8
European	MXL	f	0.029	0.0290581162324649	8
African	MXL	f	0.022	0.0220440881763527	8
Native_American	MXL	m	0.035	0.0349301397205589	8
European	MXL	m	0.443	0.442115768463074	8
African	MXL	m	0.023	0.0229540918163673	8
Native_American	PEL	f	0.487	0.479330708661417	8
European	PEL	f	0	0	8
African	PEL	f	0.021	0.0206692913385827	8
Native_American	PEL	m	0.297	0.301829268292683	8
European	PEL	m	0.195	0.198170731707317	8
African	PEL	m	0	0	8
Native_American	PUR	f	0.124	0.135667396061269	8
European	PUR	f	0.241	0.263676148796499	8
African	PUR	f	0.092	0.100656455142232	8
Native_American	PUR	m	0	0	8
European	PUR	m	0.5	0.460405156537753	8
African	PUR	m	0.043	0.0395948434622468	8
Native_American	ACB	f	0.003	0.00298210735586481	9
European	ACB	f	0	0	9
African	ACB	f	0.5	0.497017892644135	9
Native_American	ACB	m	0	0	9
European	ACB	m	0.109	0.109657947686117	9
African	ACB	m	0.388	0.390342052313883	9
Native_American	ASW	f	0.016	0.016	9
European	ASW	f	0.103	0.103	9
African	ASW	f	0.381	0.381	9
Native_American	ASW	m	0.023	0.023	9
European	ASW	m	0.121	0.121	9
African	ASW	m	0.356	0.356	9
Native_American	CLM	f	0.269	0.269	9
European	CLM	f	0.148	0.148	9
African	CLM	f	0.083	0.083	9
Native_American	CLM	m	0	0	9
European	CLM	m	0.5	0.5	9
African	CLM	m	0	0	9
Native_American	MXL	f	0.466	0.466933867735471	9
European	MXL	f	0.007	0.00701402805611222	9
African	MXL	f	0.026	0.0260521042084168	9
Native_American	MXL	m	0.019	0.0189620758483034	9
European	MXL	m	0.464	0.463073852295409	9
African	MXL	m	0.018	0.0179640718562874	9
Native_American	PEL	f	0.496	0.472380952380952	9
European	PEL	f	0	0	9
African	PEL	f	0.029	0.0276190476190476	9
Native_American	PEL	m	0.255	0.268421052631579	9
European	PEL	m	0.22	0.231578947368421	9
African	PEL	m	0	0	9
Native_American	PUR	f	0.133	0.145196506550218	9
European	PUR	f	0.235	0.256550218340611	9
African	PUR	f	0.09	0.0982532751091703	9
Native_American	PUR	m	0	0	9
European	PUR	m	0.5	0.461254612546125	9
African	PUR	m	0.042	0.0387453874538745	9
Native_American	ACB	f	0.003	0.00298210735586481	10
European	ACB	f	0	0	10
African	ACB	f	0.5	0.497017892644135	10
Native_American	ACB	m	0	0	10
European	ACB	m	0.11	0.110441767068273	10
African	ACB	m	0.388	0.389558232931727	10
Native_American	ASW	f	0.012	0.012	10
European	ASW	f	0.081	0.081	10
African	ASW	f	0.407	0.407	10
Native_American	ASW	m	0.012	0.012	10
European	ASW	m	0.12	0.12	10
African	ASW	m	0.368	0.368	10
Native_American	CLM	f	0.231	0.2625	10
European	CLM	f	0.187	0.2125	10
African	CLM	f	0.022	0.025	10
Native_American	CLM	m	0	0	10
European	CLM	m	0.5	0.446428571428571	10
African	CLM	m	0.06	0.0535714285714286	10
Native_American	MXL	f	0.462	0.462925851703407	10
European	MXL	f	0.018	0.0180360721442886	10
African	MXL	f	0.019	0.0190380761523046	10
Native_American	MXL	m	0.04	0.0398406374501992	10
European	MXL	m	0.44	0.438247011952191	10
African	MXL	m	0.022	0.0219123505976096	10
Native_American	PEL	f	0.5	0.469924812030075	10
European	PEL	f	0	0	10
African	PEL	f	0.032	0.0300751879699248	10
Native_American	PEL	m	0.252	0.269230769230769	10
European	PEL	m	0.216	0.230769230769231	10
African	PEL	m	0	0	10
Native_American	PUR	f	0.129	0.140217391304348	10
European	PUR	f	0.224	0.243478260869565	10
African	PUR	f	0.107	0.116304347826087	10
Native_American	PUR	m	0	0	10
European	PUR	m	0.5	0.462962962962963	10
African	PUR	m	0.04	0.037037037037037	10
Native_American	ACB	f	0.003	0.00298210735586481	11
European	ACB	f	0	0	11
African	ACB	f	0.5	0.497017892644135	11
Native_American	ACB	m	0	0	11
European	ACB	m	0.118	0.118712273641851	11
African	ACB	m	0.379	0.381287726358149	11
Native_American	ASW	f	0.043	0.0432595573440644	11
European	ASW	f	0.06	0.0603621730382294	11
African	ASW	f	0.394	0.396378269617706	11
Native_American	ASW	m	0	0	11
European	ASW	m	0.157	0.156063618290258	11
African	ASW	m	0.346	0.343936381709742	11
Native_American	CLM	f	0.272	0.278118609406953	11
European	CLM	f	0.156	0.159509202453988	11
African	CLM	f	0.061	0.0623721881390593	11
Native_American	CLM	m	0	0	11
European	CLM	m	0.5	0.489236790606654	11
African	CLM	m	0.011	0.0107632093933464	11
Native_American	MXL	f	0.415	0.412524850894632	11
European	MXL	f	0.088	0.0874751491053678	11
African	MXL	f	0	0	11
Native_American	MXL	m	0.112	0.112449799196787	11
European	MXL	m	0.341	0.342369477911647	11
African	MXL	m	0.045	0.0451807228915663	11
Native_American	PEL	f	0.5	0.481695568400771	11
European	PEL	f	0	0	11
African	PEL	f	0.019	0.0183044315992293	11
Native_American	PEL	m	0.27	0.28125	11
European	PEL	m	0.21	0.21875	11
African	PEL	m	0	0	11
Native_American	PUR	f	0.129	0.129	11
European	PUR	f	0.239	0.239	11
African	PUR	f	0.132	0.132	11
Native_American	PUR	m	0	0	11
European	PUR	m	0.5	0.5	11
African	PUR	m	0	0	11
Native_American	ACB	f	0.003	0.00298210735586481	12
European	ACB	f	0	0	12
African	ACB	f	0.5	0.497017892644135	12
Native_American	ACB	m	0	0	12
European	ACB	m	0.124	0.124748490945674	12
African	ACB	m	0.373	0.375251509054326	12
Native_American	ASW	f	0.028	0.0279441117764471	12
European	ASW	f	0.049	0.0489021956087824	12
African	ASW	f	0.424	0.42315369261477	12
Native_American	ASW	m	0.017	0.0170340681362725	12
European	ASW	m	0.166	0.166332665330661	12
African	ASW	m	0.316	0.316633266533066	12
Native_American	CLM	f	0.25	0.273522975929978	12
European	CLM	f	0.171	0.187089715536105	12
African	CLM	f	0.036	0.0393873085339169	12
Native_American	CLM	m	0	0	12
European	CLM	m	0.5	0.461254612546125	12
African	CLM	m	0.042	0.0387453874538745	12
Native_American	MXL	f	0.436	0.435129740518962	12
European	MXL	f	0.042	0.0419161676646707	12
African	MXL	f	0.023	0.0229540918163673	12
Native_American	MXL	m	0.058	0.0581162324649299	12
European	MXL	m	0.425	0.425851703406814	12
African	MXL	m	0.016	0.0160320641282565	12
Native_American	PEL	f	0.5	0.47438330170778	12
European	PEL	f	0	0	12
African	PEL	f	0.027	0.0256166982922201	12
Native_American	PEL	m	0.255	0.269556025369979	12
European	PEL	m	0.218	0.230443974630021	12
African	PEL	m	0	0	12
Native_American	PUR	f	0.13	0.136554621848739	12
European	PUR	f	0.237	0.248949579831933	12
African	PUR	f	0.109	0.114495798319328	12
Native_American	PUR	m	0	0	12
European	PUR	m	0.5	0.476190476190476	12
African	PUR	m	0.025	0.0238095238095238	12
Native_American	ACB	f	0.003	0.00298210735586481	13
European	ACB	f	0	0	13
African	ACB	f	0.5	0.497017892644135	13
Native_American	ACB	m	0	0	13
European	ACB	m	0.116	0.116700201207243	13
