IID	sex	pop
NA12287	female	CEU
NA12341	female	CEU
NA12340	male	CEU
NA12156	female	CEU
NA12864	male	CEU
NA12264	male	CEU
NA18517	female	YRI
NA12890	female	CEU
NA12707	male	CEU
NA18916	female	YRI
NA12718	female	CEU
NA12740	female	CEU
NA18923	male	YRI
NA12749	female	CEU
NA12752	male	CEU
NA18930	female	YRI
NA12751	female	CEU
NA10852	female	CEU
NA18935	male	YRI
NA12376	female	CEU
NA10857	male	CEU
NA18877	male	YRI
NA12383	female	CEU
NA10864	female	CEU
NA18909	female	YRI
NA12489	female	CEU
NA10838	male	CEU
NA18911	male	YRI
NA18487	male	YRI
NA10840	female	CEU
NA18853	male	YRI
NA18499	female	YRI
NA10845	male	CEU
NA18858	female	YRI
NA18502	female	YRI
NA12485	male	CEU
NA18860	male	YRI
NA12155	male	CEU
NA12865	female	CEU
NA12249	female	CEU
NA12872	male	CEU
NA12763	female	CEU
NA12877	male	CEU
NA12775	male	CEU
NA12889	male	CEU
NA12802	female	CEU
NA12891	male	CEU
NA12814	male	CEU
NA18508	female	YRI
NA12004	female	CEU
NA18510	male	YRI
NA18519	male	YRI
NA18515	male	YRI
NA18521	male	YRI
NA18522	male	YRI
NA18865	male	YRI
NA18872	male	YRI
NA12815	female	CEU
NA12827	male	CEU
NA18488	female	YRI
NA19116	female	YRI
NA18503	male	YRI
NA19123	male	YRI
NA19128	male	YRI
NA19130	male	YRI
NA18507	male	YRI
NA19096	male	YRI
NA12776	female	CEU
NA18868	male	YRI
NA18870	female	YRI
NA18875	female	YRI
NA18933	female	YRI
NA18879	male	YRI
NA18881	female	YRI
NA18907	female	YRI
NA18906	female	YRI
NA18914	male	YRI
NA18913	male	YRI
NA18856	male	YRI
NA18867	female	YRI
NA18863	male	YRI
NA18874	male	YRI
NA19104	male	YRI
NA19109	female	YRI
NA19154	male	YRI
NA19159	female	YRI
NA19161	male	YRI
NA19166	female	YRI
NA19173	male	YRI
NA19185	female	YRI
NA19197	female	YRI
NA18855	female	YRI
NA19200	male	YRI
NA18862	male	YRI
NA18925	male	YRI
NA19118	female	YRI
NA19120	male	YRI
NA19224	male	YRI
NA19132	female	YRI
NA19236	male	YRI
NA19137	female	YRI
NA19142	male	YRI
NA19147	female	YRI
NA19093	female	YRI
NA19098	male	YRI
NA19248	male	YRI
NA19205	male	YRI
NA19678	female	MXL
NA19680	female	MXL
NA19685	male	MXL
NA19700	male	ASW
NA19144	male	YRI
NA19705	male	ASW
NA19149	female	YRI
NA19712	female	ASW
NA19101	male	YRI
NA19717	male	MXL
NA19113	male	YRI
NA19222	female	YRI
NA19239	male	YRI
NA19203	male	YRI
NA19654	female	MXL
NA19208	male	YRI
NA19659	female	MXL
NA19210	male	YRI
NA19724	male	MXL
NA19215	female	YRI
